日期 年/月/日,城市,业务线,PV,UV,报名量,分配量,分配率,拉新量,录入量,带看量,成交量,二手单量,租赁单量,新房单量
总和,合计,合计,272897,210497,28047,11114,0.396,8599,11511,5158,386,55,328,3
2022年7月21日,北京,二手房,274,52,1,1,1,0,1,,,0,0,0
2022年7月21日,太原,二手房,157,39,3,2,0.667,3,11,4,,0,0,0
2022年7月21日,太原,租房,157,39,3,3,1,3,4,2,,0,0,0
2022年7月22日,北京,二手房,862,486,50,33,0.66,25,37,1,,0,0,0
2022年7月22日,北京,新房,862,486,3,2,0.667,0,7,,,0,0,0
2022年7月22日,北京,租房,862,486,27,19,0.704,10,30,14,1,0,1,0
2022年7月22日,常州,二手房,15,8,3,2,0.667,0,1,,,0,0,0
2022年7月22日,成都,租房,18,15,2,1,0.5,1,,,,0,0,0
2022年7月22日,东莞,二手房,60,17,3,0,0,0,,,,0,0,0
2022年7月22日,东莞,租房,60,17,2,1,0.5,1,,,,0,0,0
2022年7月22日,杭州,新房,77,71,1,1,1,0,,,,0,0,0
2022年7月22日,杭州,租房,77,71,2,0,0,0,,2,1,0,1,0
2022年7月22日,呼和浩特,二手房,11,5,2,0,0,0,,,,0,0,0
2022年7月22日,临汾,二手房,21,9,5,2,0.4,0,,,,0,0,0
2022年7月22日,临沂,租房,6,3,2,1,0.5,0,,,,0,0,0
2022年7月22日,南京,二手房,112,77,9,5,0.556,3,3,,,0,0,0
2022年7月22日,南京,新房,112,77,3,1,0.333,1,1,,,0,0,0
2022年7月22日,南京,租房,112,77,12,8,0.667,2,9,1,1,0,1,0
2022年7月22日,青岛,二手房,34,19,9,5,0.556,1,3,1,,0,0,0
2022年7月22日,青岛,租房,34,19,1,0,0,1,,,,0,0,0
2022年7月22日,上海,二手房,112,72,1,1,1,1,,,,0,0,0
2022年7月22日,上海,租房,112,72,1,1,1,0,,,,0,0,0
2022年7月22日,苏州,二手房,261,125,34,7,0.206,1,7,4,1,1,0,0
2022年7月22日,苏州,新房,261,125,1,0,0,0,,,,0,0,0
2022年7月22日,太原,二手房,32,24,1,1,1,0,1,,,0,0,0
2022年7月22日,太原,租房,32,24,2,1,0.5,0,7,,,0,0,0
2022年7月22日,天津,二手房,87,44,7,0,0,1,,,,0,0,0
2022年7月22日,天津,新房,87,44,2,2,1,1,,,,0,0,0
2022年7月22日,无锡,二手房,43,19,1,0,0,0,,,,0,0,0
2022年7月22日,无锡,租房,43,19,1,0,0,0,,,,0,0,0
2022年7月22日,武汉,二手房,18,15,2,1,0.5,2,,,,0,0,0
2022年7月22日,武汉,租房,18,15,1,1,1,1,,,,0,0,0
2022年7月22日,西安咸阳,二手房,54,27,2,1,0.5,1,1,,,0,0,0
2022年7月22日,西安咸阳,租房,54,27,1,1,1,0,,,,0,0,0
2022年7月22日,郑州,二手房,60,10,6,3,0.5,0,,,,0,0,0
2022年7月22日,郑州,租房,60,10,2,0,0,0,,,,0,0,0
2022年7月23日,北京,二手房,529,224,31,13,0.419,3,17,17,,0,0,0
2022年7月23日,北京,新房,529,224,6,3,0.5,1,1,,,0,0,0
